ANEXO I - NOMENCLADOR GENERAL APROSS
Código	Descripción	Valor
211104	ESTUDIO DEL GEN BCR/ABL POR LA TECNICA DE PCR-CUANTITATIVA 	 $  129.323 
211201	TROMBOFILIA ESTUDIOS POR PCR	 $  11.306 
211202	ESTUDIO MOLECULAR JACK 2	 $  45.988 
211301	TEST GENETICOS ESTUDIOS POR PCR	 $  23.937 
211401	CITOMETRIA DE FLUJO	 $  9.635 
211410	CROSS MATCH CONTRA PANEL POR LUMINEX	 $  79.302 
211411	CROSS MATCH CONTRA DONANTE POR CITOMETRIA DE FLUJO POR DONANTE	 $  115.113 
211412	ESPECIFICIDAD DE AC IgG ANTI CLASE I Y II POR LUMINEX	 $  293.420 
211501	CARGAS VIRALES	 $  44.044 
211502	HIV RESISTENCIA A ANTIRRETROVIRALES (TRANSCRIPTASA REVERSA)	 $  110.110 
211503	HIV RESISTENCIA A ANTIRRETROVIRALES (INTEGRASA)	 $  65.612 
	GINECOLOGIA Y OBSTETRICIA	
220101	COLPOSCOPIA	 $  1.062 
220111	VIDEOHISTEROSCOPIA DIAGNOSTICA	 $  121.810 
220202	MONITOREO FETAL AMBULATORIO	 $  2.560 
220203	METODO PSICOPROFILACTICO DEL PARTO  PMI  POR SESION	 $  908 
	HEMATOLOGIA - INMUNOLOGIA	
230120	COOMBS DIRECTA. PRUEBA DE	 $  1.836 
230160	HEMOTIPIFICACION DEL RN	 $  1.201 
230185	IDENTIFICACION INMUNOHEMATOLOGICA COMPLETA	 $  6.346 
230233	CITOMETRIA DE FLUJO EN SANGRE PERIFERICA	 $  2.982 
230234	CD34	 $  4.536 
230277	HEMOTIPIFICACION DEL ADULTO	 $  2.109 
230278	MH 1 DIAGNOSTICO DE ENFERMEDADES HEMATOLOGICAS EN SANGRE PERIFERICA	 $  3.033 
230279	MH 2 ESTUDIO HEMATOLOGICO EN SINDROMES ANEMICOS	 $  6.486 
230280	MH 3 SEGUIMIENTO DE PATOLOGIAS HEMATOLOGICAS Y ONCOLOGICAS	 $  3.301 
230281	MH 4 PUNCION DE MEDULA OSEA PARA DIAGNOSTICO EN ONCOHEMATOLOGIA	 $  11.680 
230282	MH 7 BIOPSIA DE CONO OSEO PARA DIAGNOSTICO Y CONTROL EN ONCOHEMATOLOGIA	 $  12.540 
230284	MH 8  DIAGNOSTICO DE LEUCEMIAS Y SINDROMES LINFOPROLIFERATIVOS	 $  61.838 
230285	PANEL DE SECUENCIACION MIELOIDE	 $  229.075 
230301	MODULO A DE ADMISION - HEMOFILIA	 $  19.666 
230302	MODULO B-ATEN. INT. SEGUIMIENTO	 $  29.044 
230401	TRATAMIENTO INICIAL DE LEUCEMIA LINFATICA AGUDA EN PEDIATRIA	 $  4.795.908 
230402	TRATAMIENTO POST-INICIAL EN PEDIATRIA RIESGO. STANDARD	 $  2.607.834 
230403	TRATAMIENTO POST-INICIAL LLA PEDIATRIA, RIESGO INTERMEDIO	 $  821.167 
230404	REFUERZO DE TRATAMIENTO EN PEDIATRIA. PARTE I Y II	 $  452.354 
230405	PROTOCOLO METOTREXATO EN ALTAS DOSIS PEDIATRIA ET. I Y II	 $  2.071.232 
230406	RIESGO ELEVADO BA. BB. BC EN PEDIATRIA	 $  1.004.188 
230407	TRATAMIENTO INICIAL DE LEUCEMIA LINF. AGUDA EN MAYORES 16 AÑOS	 $  4.795.908 
230408	TRATAMIENTO POST-INICIAL EN MAYORES16 AÑOS RIESGO STANDARD	 $  2.601.362 
230409	REFUERZO DE TRATAMIENTO EN MAYORES 16 AÑOS. PARTE I Y II	 $  452.354 
230410	PROTOCOLO METROTEXATO EN ALTAS DOSIS MAYORES16 A . ET. I Y II	 $  2.071.926 
230411	RIESGO ELEVADO B1. B2. B3 EN MAYORES16 AÑOS	 $  1.064.724 
230412	TRATAMIENTO INICIAL DE LMA PEDIATRIA	 $  4.795.908 
230413	TRATAMIENTO POST-INICIAL LMA PEDIATRIA	 $  1.639.524 
230414	REFUERZO DE TRATAMIENTO LMA 3 PEDIATRIA	 $  1.656.262 
230415	TRATAMIENTO INICIAL DE LEUCEMIA MIELOIDE EN MAYORES 16 AÑOS	 $  4.795.908 
230416	TRATAMIENTO POST-INIC. EN LEUCEMIA MIELOIDE EN MAYORES 16 AÑOS	 $  6.083.729 
230417	TRATAMIENTO DE SINDROME MIELODISPLASICO	 $  289.491 
230418	TRATAMIENTO INICIAL DE LEUCEMIA PROMIELOCITICA EN MAYORES16 AÑOS	 $  1.656.262 
230419	TRATAMIENTO POST-INIC. DE LEUCEMIA PROMIELOCITICA R.BAJO E INT.	 $  763.141 
230420	TRATAMIENTO POST-INICIAL DE LEUCEMIA PROMIELOCITICA RIESGO ALTO 	 $  1.106.471 
230421	TRATAMIENTO DE RESCATE EN ENF.LINF Y MIELOPROLIFERATIVAS	 $  2.414.800 
230422	TRATAMIENTO DE GVH MODERADO	 $  3.203.829 
230423	TRATAMIENTO DE GVH GRAVE	 $  4.691.225 
230424	COMPLICACIONES POST QUIMIOTERAPIA EN LINFOMAS. LEUCEMIAS Y TUMORES PEDIATRICOS	 $  262.476 
	HEMOTERAPIA O MEDICINA TRANSFUSIONAL	
240101	TRANSFUSION DE HEMOCOMPONENTE. INCLUYE BIOLOGIA MOLECULAR PARA HEPATITIS C Y VIH	 $  28.207 
240102	INFUSION DE ALBUMINA HUMANA AL 20PORC X 50 CC	 $  8.704 
240103	TRANSFUSION DE HEMOCOMPONENTE SIN BIOLOGIA MOLECUL	 $  28.207 
240108	EXANGUINEO - TRANSFUSION -1RA. UNIDAD 50 -	 $  13.607 
240111	SANGRIA POR POLIGLOBULIA	 $  13.607 
240113	ERITROFERESIS MANUAL	 $  6.651 
240121	AFERESIS CON PROCESADOR CELULAR - PLASMAFERESIS	 $  94.225 
240122	AFERESIS CON PROCESADOR CELULAR -PLAQUETOFERESIS - LEUCOFERESIS	 $  94.225 
240126	IRRADIACION DE HEMOCOMPONENTES	 $  7.123 
240127	FILTROS PARA LEUCORREDUCCION DE GRS	 $  9.095 
240128	FILTROS PARA LEUCORREDUCCIÓN DE PLAQUETAS	 $  9.095 
	REHABILITACION MEDICA	
250101	FISIOKINESIOTERAPIA	 $  1.950 
250106	KINESIOTERAPIA O FISIATRIA A DOMICILIO	 $  2.106 
250421	CONSULTA EVALUACION DIAGNOSTICA - FONOAUDIOLOGIA	 $  3.530 
250422	SESIONES FONOAUDIOLOGICAS	 $  1.373 
	MEDICINA NUCLEAR	
260101	CURVA DE CAPTACION TIROIDES INCLUYE HASTA TRES DETERMINACIONES	 $  15.621 
260107	DOSIS TERAPEUTICA I 131 HIPERTIROIDISMO   HASTA 20 MILICURIES	 $  82.267 
260108	DOSIS TERAPEUTICA I 131 HIPERTIROIDISMO   ENTRE 21 Y 40 MILICURIES	 $  114.469 
260109	DOSIS TERAPEUTICA I-131 CA. DE TIROIDES HASTA 103 MILICURIES	 $  233.059 
260110	DOSIS TERAPEUTICA I-131 CA. DE TIROIDES ENTRE 103 Y 180 MILICURIES	 $  294.786 
260111	DOSIS TERAPEUTICA I-131 CA. DE TIROIDES ENTRE 181 Y 240 MILICURIES	 $  342.744 
260112	DOSIS TERAPEUTICA I-131 CA. DE TIROIDES ENTRE 241	 $  380.157 
260508	CENTELLOGRAMA OSEO CORPORAL TOTAL c/Tecnesio incluido)	 $  52.550 
260510	CENTELLOGRAFIA DE ARTICULACIONES (INCLUYE ARTROCENTESIS)	 $  37.963 
260511	CENTELLOGRAMA DE TIROIDES	 $  41.154 
260512	CENTELLOGRAMA DE TIROIDES Y MEDIASTINO	 $  53.581 
260513	BARRIDO-TOTAL PARA CARCINOMA DE TIROIDES	 $  57.138 
260514	CENTELLOGRAMA DE PARATIROIDES	 $  82.267 
260515	CENTELLOGRAMA DE GLANDULAS SALIVALES	 $  35.719 
260516	CENTELLOGRAMA DE PULMON-PERFUSION O VENTILACION	 $  22.194 
260517	CENTELLOGRAMA HEPATICO	 $  43.534 
260520	CENTELLOGRAMA DE BAZO	 $  43.716 
260521	CENTELLOGRAMA RENAL BILATERAL	 $  44.562 
260524	CENTELLOGRAMA VIAS LINFATICAS ABDOMINOINGUINALES, AXILARES Y/O MEDIASTINALES	 $  75.923 
260525	ANGIOGRAFIA RADIOISOTOPICA POR AREA	 $  43.941 
260526	ESTUDIO DINAMICO RENAL	 $  86.818 
260527	RADIOCARDIOGRAMA REPOSO	 $  33.480 
260529	FLEBOGRAFIA RADIOISOTOPICA	 $  44.385 
260531	DINAMICA DEL TRANSITO ESOFAGO GASTRICO	 $  45.250 
260532	DINAMICA TRANSITO INTESTINAL	 $  44.206 
260533	RADIOCARDIOGRAMA REPOSO Y ESFUERZO	 $  53.396 
260535	CENTELLOGRAMA DE PULMON (VENTILACION Y PERFUSION)	 $  140.211 
260550	SPECT PERFUSION MIOCARDICA / STRESS(Incluye el Tecnesio)	 $  140.211 
260555	CENTELLOGRAMA CON TC 99 DEOXIGLUCOSA	 $  82.946 
260563	OTRAS MARCACIONES ESPECIALES (Ciprofloxacina)	 $  80.314 
260601	SPECT DE CEREBRO	 $  140.211 
260602	MAPEO LINFATICO C/TG 99 PARA MELANOMA O DETECCION GANGLIO CENTINELA	 $  98.638 
	NEUMONOLOGIA	
280101	ESPIROMETRIA CON O SIN USO DE BRONCODILATADORES	 $  5.179 
280104	TRAQUEOSCOPIA	 $  3.492 
280106	BRONCOFIBROSCOPIA CON O SIN VIDEO	 $  18.577 
280112	ESTUDIO ESPIROMETRICO COMPUTADO	 $  5.179 
280115	TEST DE CAMINATA	 $  4.064 
	NEUROLOGIA	
290101	ELECTROENCEFALOGRAFIA SIMPLE	 $  1.803 
290102	ELECTROENCEFALOGRAFIA CON ACTIVACION COMPLEJA	 $  6.918 
290103	NISTAGMOGRAFIA. ELECTRORRETINOGRAFIA	 $  6.557 
290104	VIDEONISTAGMOGRAFIA	 $  11.024 
290105	ELECTROMIOGRAFIA DE LOS CUATRO MIEMBROS	 $  13.636 
290106	ELECTROMIOGRAFIA CON VELOCIDAD DE CONDUC	 $  9.183 
290112	POTENCIALES EVOCADOS DE CUALQUIER VIA DE CONDUCCION O SENTIDO	 $  6.972 
290113	POTENCIALES EVOCADOS DE CUALQUIER VIA DE CONDUCCION O SENTIDO INTRAQUIRURGICO	 $  99.948 
290120	ELECTROENCEFALOGRAMA COMPUTARIZADO	 $  17.903 
290121	ELECTROMIOGRAFIA COMPUTARIZADA	 $  9.183 
290128	MAPEO CEREBRAL	 $  19.151 
290201	POLISOMNOGRAFIA CON OXIMETRIA EN NEONATOS	 $  64.462 
290202	POLISOMNOGRAFIA CON OXIMETRIA NOCTURNA EN ADULTOS CON PRESION  POSITIVA CONTINUA EN LA VIA AEREA	 $  61.656 
290203	VIDEOMONITOREO EEG PROLONGADO (MInimo 6 horas)	 $  54.814 
	OFTALMOLOGIA	
300106	TONOMETRIA EN NINOS CON ANESTESIA GENERAL	 $  15.675 
300107	EJERCICIOS ORTOPTICOS POR SESION HASTA 10 POR MES	 $  2.536 
300108	GONIOSCOPIA	 $  1.089 
300109	CURVA TENSIONAL -BILATERAL-	 $  2.309 
300113	RETINOFLUORESCEINOGRAFIA	 $  11.660 
300119	OFTALMOSCOPIA INDIRECTA BINOCULAR CON ESQUEMA DE FONDO DE OJO	 $  1.089 
300120	ESTUDIO DE FIJACION EN EL ESTRABISMO -BI	 $  1.380 
300124	TOPOGRAFIA CORNEAL UNI O BILATERAL	 $  9.581 
300127	ELECTROOCULOGRAMA BILATERAL	 $  4.227 
300134	ECOMETRIA UNILATERAL	 $  3.834 
300201	CAMPIMETRIA COMPUTARIZADA	 $  8.777 
300202	PAQUIMETRIA COMPUTARIZADA	 $  4.159 
300203	TOMOGRAFIA DE COHERENCIA OPTICA	 $  14.318 
300204	RECUENTO DE CELULAS ENDOTELIALES	 $  6.845 
300205	PENTACAM	 $  12.709 
	OTORRINOLARINGOLOGIA	
310101	ESTUDIO FUNCIONAL LABERINTICO	 $  7.768 
310102	AUDIOMETRIA	 $  3.562 
310103	LOGOAUDIOMETIA	 $  1.286 
310104	PRUEBAS SUPRALIMINARES	 $  1.153 
310105	SELECCION DE OTOAMPLIFONOS -INCLUYE INFORME MEDICO ORL-	 $  3.006 
310109	IMPEDANCIOMETRIA	 $  1.475 
310110	EXAMEN FUNCIONAL DE NARIZ (RINOMANOMETRIA)	 $  2.380 
310111	EXTRACCION CUERPO EXTRANO EN OIDO	 $  2.751 
310112	DRENAJE DE HEMATOMA DE TABIQUE NASAL	 $  46.121 
310113	TAPONAMIENTO NASAL ANTEROPOSTERIOR	 $  3.102 
310114	LARINGOSCOPIA  FIBROSCOPICA	 $  10.340 
310115	RINOFIBROSCOPIA	 $  10.146 
310116	CAUTERIZACION NARIZ	 $  3.092 
310117	OTOEMISIONES ACUSTICAS	 $  6.316 
310118	POTENCIALES EVOCADOS AUDITIVOS	 $  4.106 
310201	SELECCION INTEGRAL DE AUDIFONOS	 $  9.882 
310202	VERIFICACION DE FUNCIONAMIENTO	 $  7.484 
310203	SEGUIMIENTO DEL PACIENTE CON AUDIFONO	 $  1.727 
310204	CALIBRACION DE AUDIFONOS (UNILATERAL)	 $  2.520 
310301	CALIBRACION DE IMPLANTE COCLEAR	 $  5.941 
	RADIOLOGIA	
340101	RADIOSCOPIA SIMPLE	 $  1.461 
340102	RADIOSCOPIA CON INTENSIFICADOR DE IMAGEN	 $  1.930 
340103	RADIOSCOPIA CON CIRCUITO CERRADO DE TELEVISION	 $  1.930 
340104	BLOQUEO RADICULAR FORAMINAL Y/O ARTICULAR GUIADA POR TAC INCLUYE HASTA 2 INFILTRACIONES	 $  22.549 
340201	RADIOLOGIA DEL CRANEO, CARA, SENOS PARANASALES O CAVUM	 $  863 
340202	EXPOS. SUBSIGUIENTE	 $  635 
340204	RADIOLOGIA ARTICULACION TEMPOROMANDIBULAR	 $  1.101 
340205	ORTOPANTOMOGRAFIA (PANORAMICA DE CARA O CRANEO)	 $  2.009 
340207	TELERRADIOGRAFIA DE CRANEO Y/O PERFIL FACIAL	 $  1.930 
340208	POR EXPOSICION SUBSIGUIENTE .G	 $  1.571 
340209	RADIOLOGIA DE RAQUIS (COLUMNA)	 $  1.067 
340210	EXPOS. SUBSIGUIENTE	 $  787 
340211	RADIOLOGIA HOMBRO, HUMERO, PELVIS, CADERA Y FEMUR	 $  1.067 
340212	EXPOS. SUBSIGUIENTE	 $  787 
340213	RADIOLOGIA ANTEBRAZO, CODO, MANO, RODILLA, PIE, PIERNA, TOBILLO YPIE	 $  1.067 
340214	MEDICION COMPARATIVA DE MIEMBROS INFERIORES (ORTORRADIOGRAFIA)	 $  1.419 
340217	EXPOS. SUBSIGUIENTE	 $  711 
340218	ESPINOGRAMA COMPLETO	 $  6.994 
340301	RADIOLOGIA TORAX	 $  1.022 
340302	EXPOS. SUBSIGUIENTE	 $  787 
340402	ESOFAGO -ESTUDIO SERIADO-	 $  1.885 
340403	RADIOLOGIA SERIADA GASTRODUODENAL	 $  3.777 
340404	RADIOLOGIA SERIADA GASTRODUODENAL, TECNICA DOBLE CONTRASTE	 $  4.636 
340405	RADIOLOGIA SERIADA ESOFAGOGASTRODUODENAL	 $  8.295 
340407	RADIOLOGIA TRANSITO INTESTINO DELGADO O COLON	 $  2.513 
340409	RADIOLOGIA COLON POR ENEMA Y EVACUADO	 $  7.070 
340410	COLON POR ENEMA Y EVACUADO	 $  2.592 
340411	RADIOLOGIA COLON POR ENEMA E INSUFLADO	 $  8.092 
340412	RADIOLOGIA COLON POR ENEMA EVACUADO Y DOBLE CONTRASTE	 $  9.113 
340416	COLANGIOGRAFIA OPERATORIA	 $  1.498 
340417	COLANGIOGRAFIA OPERATORIA POR C/PLACA	 $  711 
340418	FISTULOCOLANGIOGRAFIA COLANGIOGRAFIA POSOPERATORIA	 $  2.206 
340419	COLANGIOGRAFIA RETROGRADA POR FIBROSCOPIA	 $  2.206 
340421	RADIOLOGIA SIMPLE DE ABDOMEN	 $  863 
340422	POR EXPOSICION SUBSIGUIENTE .A	 $  711 
340423	ESTUDIO DE LA DEGLUCION Y DINAMICA DE LA	 $  6.914 
340424	COLANGIOGRAFIA TRANSPARIETOHEPATICA	 $  6.914 
340425	REDUCCION NEUMATICA DE INVAGINACION INTESTINAL	 $  24.665 
340426	TRANSITO ESOFAGOGASTRODUODENAL EN PEDIATRIA	 $  10.370 
340427	COLON POR ENEMA, SIMPLE, EVACUADO, DOBLE CONTRASTE, EN PEDIATRIA	 $  10.449 
340428	VIDEODEGLUCION EN NIÑOS/PEDIATRIA	 $  8.644 
340429	COLONOSCOPIA VIRTUAL	 $  49.737 
340501	RADIOLOGIA SIMPLE DE ARBOL URINARIO	 $  863 
340502	UROGRAMA EXCRETOR PIELOGRAFIA DESCENDENTE	 $  6.055 
340503	UROGRAMA EXCRETOR CON ESTUDIO VESICAL PRE Y POSMICCIONAL	 $  7.308 
340507	CISTOURETROGRAFIA MICCIONAL CISTOURETROGRAFIA ASCENDENTE	 $  5.579 
340508	CISTOURETROGRAFIA POR ESTUDIO DE INCONTINENCIA	 $  5.579 
340510	CISTOURETROGRAFIA MICCIONAL DE RELLENO P	 $  2.592 
340511	CISTOURETROGRAFIA EN NINOS-PEDIATRIA	 $  6.952 
340601	MAMOGRAFIA C/S PROYECCION AXILAR (BILATERAL)	 $  4.008 
340604	HISTEROSALPINGOGRAFIA CON COTTE	 $  2.834 
340611	MAMOGRAFIA DIGITAL-BILATERAL	 $  7.777 
340904	DACRIOCISTOGRAFIA 3 PLACAS POR ESTUDIO	 $  4.325 
341001	TOMOGRAFIA AXIAL COMPUTADA CEREBRAL	 $  16.653 
341002	TOMOGRAFIA AXIAL COMPUTADA CEREBRAL REFORZADA	 $  17.795 
341004	TOMOGRAFIA AXIAL COMPUTADA OFTALMOLOGICA	 $  16.653 
341005	TOMOGRAFIA AXIAL COMPUTADA TIROIDEA	 $  16.653 
341006	TOMOGRAFIA AXIAL COMPUTADA MAMARIA	 $  16.653 
341007	TOMOGRAFIA AXIAL COMPUTADA GINECOLOGICA	 $  16.653 
341008	TOMOGRAFIA AXIAL COMPUTADA COMPLETA DE ABDOMEN  C/S CONTRASTE	 $  17.795 
341009	TOMOGRAFIA AXIAL COMPUTADA HEPATOBILIAR ESPLENICA PANCREATICA	 $  16.653 
341010	TOMOGRAFIA AXIAL COMPUTADA TORACICA    C/S CONTRASTE	 $  16.653 
341011	TOMOGRAFIA AXIAL COMPUTADA VEJIGA Y PROSTATA	 $  16.653 
341012	TOMOGRAFIA AXIAL COMPUTADA OTROS ORGANOS Y REGIONES   C/S CONTRASTE	 $  16.653 
341013	TOMOGRAFIA AXIAL COMPUTADA DE COLUMNA	 $  16.653 
341014	TOMOGRAFIA CONE BEAM	 $  13.908 
341015	TOMOGRAFIA MULTISLICE DE CUALQUIER REGION	 $  30.557 
341016	TOMOGRAFIA MULTISLICE DE VASOS DE CUALQUIER REGION	 $  30.557 
341017	ANGIO TAC DE ARTERIAS CORONARIAS	 $  30.557 
341019	PIELO TAC	 $  30.557 
341020	BIOPSIA GUIADA POR T.A.C INCLUYE TODO	 $  27.023 
341021	DRENAJE DE COLECCION GUIADA POR T.A.C	 $  30.796 
341022	NEFROSTOMIA PERCUTANEA UNILATERAL X TAC	 $  33.782 
341023	NEFROSTOMIA PERCUTANEA BILATERAL POR TAC	 $  60.797 
341024	T.A.C. DEL NERVIO OPTICO	 $  7.432 
341029	T.A.C. TRIDIMENSIONAL	 $  34.717 
341030	ANGIORESONANCIA DE CUALQUIER ORGANO O REGION	 $  34.717 
341031	COLANGIORESONANCIA	 $  34.717 
341032	RESONANCIA CARDIACA	 $  35.537 
341051	PET TC	 $  201.369 
341053	PET-COLINA	 $  201.369 
341054	PET-DOPA	 $  201.369 
341103	DENSITOMETRIA OSEA TOTAL	 $  5.075 
341205	RESONANCIA MAGNETICA DE CUELLO	 $  24.475 
341208	RESONANCIA MAGNETICA DE PELVIS	 $  25.053 
341209	RESONANCIA MAGNETICA DE MIEMBRO SUP./INF	 $  25.053 
342001	RESONANCIA MAGNETICA NUCLEAR CEREBRAL	 $  25.053 
342002	MIELORESONANCIA	 $  37.907 
342003	URORESONANCIA	 $  40.731 
342008	RESONANCIA MAGNETICA NUCLEAR COMPLETA DE ABDOMEN	 $  25.053 
342010	RESONANCIA MAGNETICA NUCLEAR TORACICA	 $  25.053 
342013	RESONANCIA MAGNETICA NUCLEAR DE COLUMNA	 $  25.053 
342014	RESONANCIA MAGNETICA NUCLEAR DE ARTICULACIONES	 $  25.053 
342015	RESONANCIA MAGNETICA NUCLEAR DE MAMAS	 $  35.619 
342018	RESONANCIA MULTIPARAMETRICA DE PROSTATA	 $  28.467 
342019	RESONANCIA CON DIFUSION DE CUALQUIER ORGANO O REGION	 $  31.279 
342020	RESONANCIA CON ESPECTROSCOPIA	 $  56.587 
342021	RESONANCIA CON TRACTOGRAFIA	 $  48.584 
342022	RESONANCIA CON PERFUSION	 $  49.732 
342023	RESONANCIA FUNCIONAL	 $  49.732 
	TERAPIA RADIANTE	
350401	RADIOTERAPIA -MODULO CONVENCIONAL -3D-	 $  796.333 
350402	IRRADIACION CORPORAL TOTAL (TBI)	 $  1.037.172 
350403	BRAQUITERAPIA VAGINAL	 $  611.325,00 
350406	RADIOTERAPIA DE INTENSIDAD MODULADA - TRATAMIENTO COMPLETO	 $  1.598.132 
350407	RADIOTERAPIA ESTEREOTAXICA FRACCIONADA INTRACRANEAL	 $  1.683.917 
350408	RADIOCIRUGIA ESTEREOTAXICA	 $  1.683.917 
350409	RADIOT.INTENS.MODULADA -TRA.COMPLETO - MODO F	 $  521.276 
350410	SBRT EX DACTRAC	 $  1.683.917 
350411	BRAQUITERAPIA DE PROSTATA	 $  960.214 
	UROLOGIA	
360102	URETROCISTOFIBROSCOPIA	 $  17.903 
360110	UROFLUJOMETRIA	 $  3.897 
360111	ESTUDIO URODINAMICO COMPLETO	 $  11.963 
360112	URETEROSCOPIA SEMIRRÍGIDA Y LITOTRISIA ENDOCORPÓREA	 $  53.727 
360113	PENEOSCOPIA CON O SIN BIOPSIA	 $  11.963 
360128	LITOTRICIA EXTRACORPOREA SIMPLE (CALCULOS DE HASTA 1,5 cm)	 $  209.777 
360129	LITOTRICIA EXTRACORPOREA COMPLEJA (CALCULOS DE MAS DE 1,5 cm o MULTIPLES -MAS DE UN LITO)	 $  344.497 
360130	LITOTRICIA ENDOLUMINAL - (CALCULOS DE URETER PELVIANO - CALCULOS SIN RESPUESTA A LA EXTRACORPOREA - CALCULOS URETERALES EN PACIENTES CON ALTERACION RENAL Y/O INFECTADOS O COMPLICADOS)	 $  373.531 
360131	NEFROLITOTOMIA PERCUTANEA PARA CALCULOS CORALIFORMES (INCLUYE INTERNACION)	 $  373.752 
	TRASPLANTES	
370101	ABLACION CARDIACA	 $  330.581 
370102	TRASPLANTE CARDIACO	 $  5.587.428 
370110	PRE-TRASPLANTE CARDIACO ADULTO	 $  630.210 
370111	PRE-TRASPLANTE CARDIACO PEDIATRICO	 $  630.210 
370120	POST-TRASPLANTE CARDIACO	 $  53.837 
370201	ABLACION PULMONAR	 $  330.581 
370202	TRASPLANTE PULMONAR	 $  4.187.306 
370203	TRASPLANTE BIPULMONAR	 $  4.958.660 
370210	PRE-TRASPLANTE PULMONAR ADULTO	 $  630.210 
370211	PRE-TRASPLANTE PULMONAR PEDIATRICO	 $  630.210 
370220	POST-TRASPLANTE PULMONAR	 $  66.129 
370301	ABLACION CARDIOPULMONAR	 $  330.581 
370302	TRASPLANTE CARDIOPULMONAR	 $  6.776.832 
370310	PRE-TRASPLANTE CARDIOPULMONAR ADULTO	 $  630.210 
370311	PRE-TRASPLANTE CARDIOPULMONAR PEDIATRICO	 $  630.210 
370320	POST-TRASPLANTE CARDIOPULMONAR	 $  66.129 
370401	ABLACION HEPATICA	 $  330.581 
370402	TRASPLANTE HEPATICO CON DONANTE CADAVERICO	 $  9.742.180 
370403	TRASPLANTE HEPATICO ADULTO CON DONANTE RELACIONADO	 $  7.782.282 
370404	TRASPLANTE HEPATICO PEDIATRICO CON DONANTE CADAVER	 $  9.742.180 
370405	TRASPLANTE HEPATICO PEDIATRICO CON DONANTE RELACIO	 $  7.782.282 
370406	PRE- TRASPLANTE HEPATICO DONANTE CADAVERICO	 $  543.238 
370410	PRE- TRASPLANTE HEPATICO ADULTO DONANTE RELACIONAD	 $  543.238 
370411	PRE-TRASPLANTE HEPATICO PEDIATRICO DONANTE CADAVER	 $  543.238 
370412	PRE-TRASPLANTE HEPATICO PEDIATRICO CON DONANTE REL	 $  543.238 
370413	PRE-TRASPLANTE HEPATICO PEDIATRICO DONANTE RELACIONADO (DADOR)	 $  543.238 
370420	POST-TRASPLANTE HEPATICO	 $  64.770 
370501	ABLACION DE RIÑON Y URETER	 $  330.581 
370502	TRASPLANTE RENAL	 $  4.203.890 
370510	PRE-TRASPLANTE RENAL C/ DONANTE CADAVERICO	 $  390.390 
370511	PRE-TRASPLANTE RENAL C/ DONANTE VIVO RECEPTOR	 $  540.893 
370512	PRE-TRASPLANTE RENAL C/ DONANTE VIVO DADOR	 $  540.893 
370520	POST-TRASPLANTE RENAL	 $  43.115 
370601	TRASPLANTE HEPATO-RENAL	 $  10.458.369 
370610	PRE-TRASPLANTE HEPATO-RENAL	 $  533.312 
370620	POST-TRASPLANTE HEPATO-RENAL	 $  64.770 
370701	ABLACION DE PANCREAS	 $  330.581 
370702	TRASPLANTE RENOPANCREATICO	 $  8.668.476 
370710	PRE-TRASPLANTE RENOPANCREATICO	 $  405.121 
370720	POST-TRASPLANTE RENOPANCREATICO	 $  64.770 
370801	TRASPLANTE CARDIO-RENAL	 $  7.229.811 
370810	PRE-TRASPLANTE CARDIO-RENAL	 $  609.520 
370820	POST-TRASPLANTE CARDIO-RENAL	 $  66.129 
370901	ABLACION DE CORNEA	 $  33.065 
370902	TRASPLANTE DE CORNEA	 $  408.276 
371001	TRASPLANTE ALOGENICO RELACIONADO DE MEDULA OSEA	 $  5.987.256 
371002	TRASPLANTE DE MEDULA OSEA CON DONANTE DE BANCO	 $  9.124.593 
371010	PRE-TRASPLANTE DE MEDULA OSEA (DONANTE+RECEPTOR)	 $  253.022 
371020	POST-TRASPLANTE MEDULA OSEA	 $  55.102 
371051	ENFERMEDAD INJERTO CONTRA HUESPED -TRASPLANTE MEDU	 $  3.759.504 
372001	TRASPLANTE AUTOLOGO DE MEDULA OSEA	 $  4.940.525 
372002	EVALUACION PRETRANSPLANTE DE MEDULA OSEA	 $  105.193 
372003	CRIOPRESERVACION DE MEDULA OSEA Y STEM CELLS CON FACTORES ESTIMULANTES DE COLONIAS	 $  765.990 
374002	TRANSPLANTE DE PANCREAS	 $  6.430.034 
374010	PRE- TRASPLANTE DE PANCREAS	 $  385.678 
374020	CONTROL POST-TRANSPLANTE PANCREATICO	 $  66.129 
	TRATAMIENTOS ESPECIALES	
380101	PUVATERAPIA (POR SESION)	 $  2.081 
380102	FOTOTERAPIA (POR SESION)	 $  1.893 
380201	CAMARA HIPERBARICA	 $  9.425 
	INTERNACION	
400101	DIA DE INTERNACION EN UTI/UCO ADULTO	 $  106.798 
400102	DIA DE INTERNACION EN UTI PEDIATRICA	 $  121.037 
400103	INTERNACION EN UTI/UCO CON ARM COMPLEJA ADULTO	 $  119.613 
400104	INTERNACION EN UTI CON ARM COMPLEJA  PEDIATRICA	 $  119.613 
400106	INTERNACION EN UCI NEONATAL	 $  66.706 
400107	INTERNACION EN UCI ADULTO	 $  63.753 
410201	MODULO CLINICO DE INTERNACION NEONATOLOGICO 	 $  72.837 
410204	ADICIONAL POR USO DE ASISTENCIA RESPIRATORIA MECANICA DE ALTA FRECUENCIA EN LA INTERNACION	 $  17.165 
